# cmd: docker logs --tail 32 vse_directus
# time: 2026-03-19T11:12:41+00:00

[12:17:22] GET /items/vp_location_edges?limit=2000&fields=id%2Ckind%2Cdistance_m%2Cduration_s%2Cis_bidirectional%2Cis_active%2Cis_accessible%2Clevel_change%2Crestrictions_json%2Cmeta_json%2Cfrom_node_id.id%2Cto_node_id.id&filter=%7B%22_and%22%3A%5B%7B%22location_id%22%3A%7B%22_eq%22%3A9001%7D%7D%2C%7B%22is_active%22%3A%7B%22_eq%22%3Atrue%7D%7D%5D%7D&sort=id 200 13ms
[12:17:22] GET /items/vp_location_pois?limit=500&fields=id%2Ctitle%2Cslug%2Ckind%2Cbrand%2Cdescription%2Cicon%2Cx%2Cy%2Curl%2Cphone%2Copening_hours%2Csort%2Ckeywords%2Cis_public%2Cnode_id.id%2Cscene_id.id%2Cinstruction_id&filter=%7B%22_and%22%3A%5B%7B%22location_id%22%3A%7B%22_eq%22%3A9001%7D%7D%2C%7B%22is_active%22%3A%7B%22_eq%22%3Atrue%7D%7D%2C%7B%22is_public%22%3A%7B%22_eq%22%3Atrue%7D%7D%2C%7B%22level_id%22%3A%7B%22_eq%22%3A9101%7D%7D%5D%7D&sort=sort,title 200 11ms
[12:28:58] GET / 302 6ms
[12:28:59] PROPFIND / 404 10ms
[12:32:39] GET / 302 2ms
[12:32:42] GET /login/login 404 7ms
[12:35:40] GET / 302 1ms
[12:35:43] PROPFIND / 404 11ms
[12:42:53] GET /items/qr_codes?limit=1&fields=id%2Ccode%2Ctype%2Ctitle%2Cinstruction_url%2Cis_active%2Cnotes%2Clocation_title%2Clocation_payload%2Cservice_payload%2Cproduct_id.%2A%2Cqr_payload_url%2Cqr_file%2Cqr_file_png%2Cinstruction_id%2Ctenant_id%2Cscene_id.id%2Cscene_id.title%2Cscene_id.kind%2Cscene_id.model_file%2Cscene_id.poster_file%2Cscene_id.viewer_config%2Cscene_id.requires_password%2Cscene_id.password_hint%2Cscene_id.expires_at%2Cscene_id.is_active&filter=%7B%22code%22%3A%7B%22_eq%22%3A%22VP-DEMO-HYPER-L1-ENTRANCE%22%7D%7D 200 29ms
[12:42:53] GET /items/qr_codes?limit=1&fields=id%2Ccode%2Ctitle%2Ctype%2Cis_active%2Clocation_title%2Cscene_id.id%2Cscene_id.title%2Cscene_id.kind%2Cscene_id.model_file%2Cscene_id.poster_file%2Cscene_id.viewer_config%2Cscene_id.requires_password%2Cscene_id.password_hint%2Cscene_id.expires_at%2Cscene_id.is_active&filter=%7B%22code%22%3A%7B%22_eq%22%3A%22VP-DEMO-HYPER-L1-ENTRANCE%22%7D%7D 200 36ms
